term,estimate,std.error,statistic,p.value,abs_t_statistic,importance_rank
accommodation_typePrivate_Room,-67.01667626715094,14.86595460967809,-4.508064098589504,6.663608961571107e-6,4.508064098589504,1
neighbourhood_groupFrankfurter Allee Süd FK,-59.291744074925724,29.819517835883357,-1.9883535475404945,0.04681689882974219,1.9883535475404945,2
neighbourhood_groupTempelhofer Vorstadt,-58.09614000811743,30.678424722426218,-1.893713270279116,0.05831001281110641,1.893713270279116,3
neighbourhood_groupOther,-37.293653114553486,20.634488715439314,-1.807345635205844,0.07075729678525389,1.807345635205844,4
neighbourhood_groupPrenzlauer Berg Nordwest,-75.53967817567143,43.69971672854605,-1.7286079597474027,0.08392952238572074,1.7286079597474027,5
reviews_categoryFew_Reviews,26.525297446759065,15.635846524141845,1.6964414050626448,0.08985297414955605,1.6964414050626448,6
neighbourhood_groupFrankfurter Allee Nord,-70.85810617848249,42.249091701765835,-1.6771509948347816,0.09356382710452152,1.6771509948347816,7
neighbourhood_groupReuterstraße,-65.40653189811763,42.43315516337695,-1.5414015678609838,0.12327058184484406,1.5414015678609838,8
neighbourhood_groupsüdliche Luisenstadt,-51.64522967123817,38.40796949961116,-1.344648788886406,0.17878831722256372,1.344648788886406,9
reviews_categoryMany_Reviews,-24.398719149889743,19.40751147469861,-1.257179169091211,0.20873655153411816,1.257179169091211,10
is_superhostYes,17.583050963765373,14.230360608723707,1.2356012224304667,0.21665407149558136,1.2356012224304667,11
neighbourhood_groupNeuköllner Mitte/Zentrum,-52.06314264681834,43.738898243528496,-1.1903167372196322,0.23396791410126552,1.1903167372196322,12
is_superhostYes:accommodation_typePrivate_Room,-30.696244970185905,26.130367495451416,-1.1747345296819605,0.24014646673841694,1.1747345296819605,13
neighbourhood_groupPrenzlauer Berg Süd,-37.28676955927895,42.70179144256318,-0.8731898194349106,0.3825937481100068,0.8731898194349106,14
neighbourhood_groupDüsseldorfer Straße,-33.55534126311646,42.71606016373686,-0.7855439180133647,0.432165022601664,0.7855439180133647,15
reviews_categoryModerate_Reviews,-12.044521489743625,15.84033758785992,-0.7603702523975613,0.44706247686286427,0.7603702523975613,16
neighbourhood_groupSüdliche Friedrichstadt,-28.320239066178402,42.96054725177872,-0.6592150444500179,0.5097823932334263,0.6592150444500179,17
neighbourhood_groupPrenzlauer Berg Südwest,-19.980772820620945,35.63626674014271,-0.5606864761205043,0.5750317332972037,0.5606864761205043,18
number_of_reviews,-0.022942575120727948,0.06024185146046015,-0.3808411355980045,0.703334300567354,0.3808411355980045,19
neighbourhood_groupSchöneberg-Nord,9.472389192610713,40.859918467325244,0.2318259445423409,0.8166809256165681,0.2318259445423409,20
neighbourhood_groupBrunnenstr. Nord,-7.2700291445394845,43.5107951633178,-0.16708564201714596,0.8673081618495165,0.16708564201714596,21
neighbourhood_groupBrunnenstr. Süd,-0.8781156389955348,31.97417110685986,-0.027463280785632017,0.978091118422318,0.027463280785632017,22
